wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"tempat sejuk, asri, tiket masuk murah, tersedia musholla, dan kamar mandi yangbersih.",tempat sejuk asri tiket masuk murah tersedia musholla dan kamar mandi yangbersih,tempat sejuk asri tiket masuk murah tersedia musholla dan kamar mandi yang bersih,"['tempat', 'sejuk', 'asri', 'tiket', 'masuk', 'murah', 'tersedia', 'musholla', 'dan', 'kamar', 'mandi', 'yang', 'bersih']","['sejuk', 'asri', 'tiket', 'masuk', 'murah', 'tersedia', 'musholla', 'kamar', 'mandi', 'bersih']",sejuk asri tiket masuk murah sedia musholla kamar mandi bersih,Asri cool places cheap entrance tickets available musholla and clean bathrooms
"Tempatnya kurang nyaman,airnya kotor banyak sampah plastik dan dedaunan,tempat ganti baju sempit",tempatnya kurang nyamanairnya kotor banyak sampah plastik dan dedaunantempat ganti baju sempit,tempatnya kurang nyaman airnya kotor banyak sampah plastik dan dedaunan tempat ganti baju sempit,"['tempatnya', 'kurang', 'nyaman', 'airnya', 'kotor', 'banyak', 'sampah', 'plastik', 'dan', 'dedaunan', 'tempat', 'ganti', 'baju', 'sempit']","['tempatnya', 'nyaman', 'airnya', 'kotor', 'sampah', 'plastik', 'dedaunan', 'ganti', 'baju', 'sempit']",tempat nyaman air kotor sampah plastik dedaunan ganti baju sempit,the place is less comfortable the water is dirty a lot of plastic waste and leaves place to change narrow clothes
"Tempat yang sangat indah, tanaman airnya khas.",tempat yang sangat indah tanaman airnya khas,tempat yang sangat indah tanaman airnya khas,"['tempat', 'yang', 'sangat', 'indah', 'tanaman', 'airnya', 'khas']","['indah', 'tanaman', 'airnya', 'khas']",indah tanam air khas,A very beautiful place of a special water crop
Tambahkanmm,tambahkanmm,tambahkan,['tambahkan'],['tambahkan'],tambah,Add
"Akses jalan dari jalan raya krebet gondanglegi, menuju lokasi wisata kurang lebih 2 km. Ada penunjuk jalan yang cukup membantu. Dijamin tidak akan tersesat. Dari area parkir kita akan menuruni jalan yang menurut saya cocok untuk kendaraan …",akses jalan dari jalan raya krebet gondanglegi menuju lokasi wisata kurang lebih km ada penunjuk jalan yang cukup membantu dijamin tidak akan tersesat dari area parkir kita akan menuruni jalan yang menurut saya cocok untuk kendaraan,akses jalan dari jalan raya krebet gondanglegi menuju lokasi wisata kurang lebih ada penunjuk jalan yang cukup membantu dijamin tidak akan tersesat dari area parkir kita akan menuruni jalan yang menurut saya cocok untuk kendaraan,"['akses', 'jalan', 'dari', 'jalan', 'raya', 'krebet', 'gondanglegi', 'menuju', 'lokasi', 'wisata', 'kurang', 'lebih', 'ada', 'penunjuk', 'jalan', 'yang', 'cukup', 'membantu', 'dijamin', 'tidak', 'akan', 'tersesat', 'dari', 'area', 'parkir', 'kita', 'akan', 'menuruni', 'jalan', 'yang', 'menurut', 'saya', 'cocok', 'untuk', 'kendaraan']","['akses', 'jalan', 'jalan', 'raya', 'krebet', 'gondanglegi', 'lokasi', 'wisata', 'penunjuk', 'jalan', 'membantu', 'dijamin', 'tersesat', 'area', 'parkir', 'menuruni', 'jalan', 'cocok', 'kendaraan']",akses jalan jalan raya krebet gondanglegi lokasi wisata tunjuk jalan bantu jamin sesat area parkir turun jalan cocok kendara,Access roads from the Krebet Gondanglegi highway to the tourist location are approximately there is a guide that is quite helpful to be guaranteed not to get lost from the parking area we will go down the road which in my opinion is suitable for vehicles
Tempat yang indah untuk melihat pemandangan desa yang dikelilingi sawah dan juga terdapat sumber air yang bisa digunakan untuk berenang. Tempat yang bagus untuk rekreasi keluarga.,tempat yang indah untuk melihat pemandangan desa yang dikelilingi sawah dan juga terdapat sumber air yang bisa digunakan untuk berenang tempat yang bagus untuk rekreasi keluarga,tempat yang indah untuk melihat pemandangan desa yang dikelilingi sawah dan juga terdapat sumber air yang bisa digunakan untuk berenang tempat yang bagus untuk rekreasi keluarga,"['tempat', 'yang', 'indah', 'untuk', 'melihat', 'pemandangan', 'desa', 'yang', 'dikelilingi', 'sawah', 'dan', 'juga', 'terdapat', 'sumber', 'air', 'yang', 'bisa', 'digunakan', 'untuk', 'berenang', 'tempat', 'yang', 'bagus', 'untuk', 'rekreasi', 'keluarga']","['indah', 'pemandangan', 'desa', 'dikelilingi', 'sawah', 'sumber', 'air', 'berenang', 'bagus', 'rekreasi', 'keluarga']",indah pandang desa keliling sawah sumber air renang bagus rekreasi keluarga,a beautiful place to see the view of the village surrounded by rice fields and there is also a water source that can be used for swimming a good place for family recreation
Segar,segar,segar,['segar'],['segar'],segar,fresh
"Nyaman untuk menghilangkan junuh dari rutinitas yang mengikat dan menyakitkan 🤣 .
Dengan harga yang relatif terjangkau, 5ripu untuk masuk setiap orang …",nyaman untuk menghilangkan junuh dari rutinitas yang mengikat dan menyakitkan dengan harga yang relatif terjangkau ripu untuk masuk setiap orang,nyaman untuk menghilangkan jenuh dari rutinitas yang mengikat dan menyakitkan dengan harga yang relatif terjangkau ribu untuk masuk setiap orang,"['nyaman', 'untuk', 'menghilangkan', 'jenuh', 'dari', 'rutinitas', 'yang', 'mengikat', 'dan', 'menyakitkan', 'dengan', 'harga', 'yang', 'relatif', 'terjangkau', 'ribu', 'untuk', 'masuk', 'setiap', 'orang']","['nyaman', 'menghilangkan', 'jenuh', 'rutinitas', 'mengikat', 'menyakitkan', 'harga', 'relatif', 'terjangkau', 'ribu', 'masuk', 'orang']",nyaman hilang jenuh rutinitas ikat sakit harga relatif jangkau ribu masuk orang,comfortable to eliminate saturation from a binding and painful routine with a relatively affordable price to enter everyone
"Jernih sekali air nya,",jernih sekali air nya,jernih sekali air,"['jernih', 'sekali', 'air']","['jernih', 'air']",jernih air,very clear water
Masih banyak kekurangan ya mengingat mmg masih tahap pengembangan..,masih banyak kekurangan ya mengingat mmg masih tahap pengembangan,masih banyak kekurangan mengingat memang masih tahap pengembangan,"['masih', 'banyak', 'kekurangan', 'mengingat', 'memang', 'masih', 'tahap', 'pengembangan']","['kekurangan', 'tahap', 'pengembangan']",kurang tahap kembang,there are still many shortcomings considering that it is still a development stage
"tempatnya sebenernya bagus sih buat ke lokasi juga sudah lebih mudah, but the thing is gaperlu lah sampe ada tulisan segede itu di tengah sumber, biarin tetep alami ajaa",tempatnya sebenernya bagus sih buat ke lokasi juga sudah lebih mudah but the thing is gaperlu lah sampe ada tulisan segede itu di tengah sumber biarin tetep alami ajaa,tempatnya sebenarnya bagus untuk lokasi juga sudah lebih mudah but the thing is tidak perlu sampai ada tulisan sebesar itu tengah sumber biarin tetep alami saja,"['tempatnya', 'sebenarnya', 'bagus', 'untuk', 'lokasi', 'juga', 'sudah', 'lebih', 'mudah', 'but', 'the', 'thing', 'is', 'tidak', 'perlu', 'sampai', 'ada', 'tulisan', 'sebesar', 'itu', 'tengah', 'sumber', 'biarin', 'tetep', 'alami', 'saja']","['tempatnya', 'bagus', 'lokasi', 'mudah', 'but', 'the', 'thing', 'is', 'tulisan', 'sumber', 'biarin', 'tetep', 'alami']",tempat bagus lokasi mudah but the thing is tulis sumber biarin tetep alami,The place is actually good for the location is also easier but the thing is not necessary until there is writing that big is the middle of the source so that it remains natural
seger,seger,segar,['segar'],['segar'],segar,fresh
Cukup bagus...sarana mainan ada..... cocok untuk rekreasi keluarga... cuma perlu perawatan....😊 …,cukup bagussarana mainan ada cocok untuk rekreasi keluarga cuma perlu perawatan,cukup bagus sarana mainan ada cocok untuk rekreasi keluarga cuma perlu perawatan,"['cukup', 'bagus', 'sarana', 'mainan', 'ada', 'cocok', 'untuk', 'rekreasi', 'keluarga', 'cuma', 'perlu', 'perawatan']","['bagus', 'sarana', 'mainan', 'cocok', 'rekreasi', 'keluarga', 'perawatan']",bagus sarana main cocok rekreasi keluarga awat,pretty good toy facilities there is suitable for family recreation only need treatment
Wisata murah meriah & alam nya yg alami,wisata murah meriah alam nya yg alami,wisata murah meriah alam yang alami,"['wisata', 'murah', 'meriah', 'alam', 'yang', 'alami']","['wisata', 'murah', 'meriah', 'alam', 'alami']",wisata murah riah alam alami,Natural Cheap Tourism
mata airnya jernih dan bagus,mata airnya jernih dan bagus,mata airnya jernih dan bagus,"['mata', 'airnya', 'jernih', 'dan', 'bagus']","['mata', 'airnya', 'jernih', 'bagus']",mata air jernih bagus,The springs are clear and good
"Tempatnya Sejuk, Hening Dan Alami Membuat Anak"" Senang, Banyak Mainanya Dan Banyak Warung"" Tertata Dengan Rapi, Disamping itu juga Penjualnya Ramah Dan Bersaudara. …",tempatnya sejuk hening dan alami membuat anak senang banyak mainanya dan banyak warung tertata dengan rapi disamping itu juga penjualnya ramah dan bersaudara,tempatnya sejuk hening dan alami membuat anak senang banyak mainanya dan banyak warung tertata dengan rapi disamping itu juga penjualnya ramah dan bersaudara,"['tempatnya', 'sejuk', 'hening', 'dan', 'alami', 'membuat', 'anak', 'senang', 'banyak', 'mainanya', 'dan', 'banyak', 'warung', 'tertata', 'dengan', 'rapi', 'disamping', 'itu', 'juga', 'penjualnya', 'ramah', 'dan', 'bersaudara']","['tempatnya', 'sejuk', 'hening', 'alami', 'anak', 'senang', 'mainanya', 'warung', 'tertata', 'rapi', 'disamping', 'penjualnya', 'ramah', 'bersaudara']",tempat sejuk hening alami anak senang mainanya warung tata rapi samping jual ramah saudara,The place is cool and natural makes children happy a lot of games and many stalls are neatly arranged besides that the seller is friendly and brothers
Bagus..,bagus,bagus,['bagus'],['bagus'],bagus,Good
Tempat nya Bagus Cocok Untuk Relaxing Diri.Air nya Sangat Jernih Segar dan Mantap.Cocok Untuk Yang Hobi Petualangan Bisa Mampir Kesini Berendam Mantap.Tiket Masuk Murah Cuma 5000 Parkir 2000.,tempat nya bagus cocok untuk relaxing diriair nya sangat jernih segar dan mantapcocok untuk yang hobi petualangan bisa mampir kesini berendam mantaptiket masuk murah cuma parkir,tempat bagus cocok untuk relaxing diri air sangat jernih segar dan mantap cocok untuk yang hobi petualangan bisa mampir kesini berendam mantap tiket masuk murah cuma parkir,"['tempat', 'bagus', 'cocok', 'untuk', 'relaxing', 'diri', 'air', 'sangat', 'jernih', 'segar', 'dan', 'mantap', 'cocok', 'untuk', 'yang', 'hobi', 'petualangan', 'bisa', 'mampir', 'kesini', 'berendam', 'mantap', 'tiket', 'masuk', 'murah', 'cuma', 'parkir']","['bagus', 'cocok', 'relaxing', 'air', 'jernih', 'segar', 'mantap', 'cocok', 'hobi', 'petualangan', 'mampir', 'kesini', 'berendam', 'mantap', 'tiket', 'masuk', 'murah', 'parkir']",bagus cocok relaxing air jernih segar mantap cocok hobi tualang mampir kesini rendam mantap tiket masuk murah parkir,A good place is suitable for self -relaxing water is very clear fresh and solid suitable for those who like adventure can stop by here soaking great entrance tickets cheap just parking
"buat yg suka berenang tapi gasuka kolam berkaporit, mendingan berenang di sumber sirah sini, udah paling cocok ini kalo buat yg suka air",buat yg suka berenang tapi gasuka kolam berkaporit mendingan berenang di sumber sirah sini udah paling cocok ini kalo buat yg suka air,untuk yang suka berenang tapi tidak suka kolam berkaporit mendingan berenang sumber sirah sini udah paling cocok ini kalau untuk yang suka air,"['untuk', 'yang', 'suka', 'berenang', 'tapi', 'tidak', 'suka', 'kolam', 'berkaporit', 'mendingan', 'berenang', 'sumber', 'sirah', 'sini', 'udah', 'paling', 'cocok', 'ini', 'kalau', 'untuk', 'yang', 'suka', 'air']","['suka', 'berenang', 'suka', 'kolam', 'berkaporit', 'mendingan', 'berenang', 'sumber', 'sirah', 'udah', 'cocok', 'suka', 'air']",suka renang suka kolam kaporit mending renang sumber sirah udah cocok suka air,"for those who like to swim but don't like ponds with a better swimming pool, the source of sirah here is the most suitable for those who like water"
Anak anak senang sampai ngak mau pulang,anak anak senang sampai ngak mau pulang,anak anak senang sampai tidak mau pulang,"['anak', 'anak', 'senang', 'sampai', 'tidak', 'mau', 'pulang']","['anak', 'anak', 'senang', 'pulang']",anak anak senang pulang,The children are happy to not want to go home
Airnya sangat segar,airnya sangat segar,airnya sangat segar,"['airnya', 'sangat', 'segar']","['airnya', 'segar']",air segar,The water is very fresh
Sumber sira airnya sangat jernih di pagi hari. .. byurrrr. .. hemmmnnn segereeeee,sumber sira airnya sangat jernih di pagi hari byurrrr hemmmnnn segereeeee,sumber sira airnya sangat jernih pagi hari segar,"['sumber', 'sira', 'airnya', 'sangat', 'jernih', 'pagi', 'hari', 'segar']","['sumber', 'sira', 'airnya', 'jernih', 'pagi', 'segar']",sumber sira air jernih pagi segar,the source of the water is very clear in the morning
Sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,very good
Bagus sihh,bagus sihh,bagus,['bagus'],['bagus'],bagus,Good
Mantabh tempat nya 😃😻👌 …,mantabh tempat nya,mantap tempat,"['mantap', 'tempat']",['mantap'],mantap,great place
"Akses jalan bagus, sempat bingung ada dua nama sumber sira dan sumber bureng ternyata dua nama untuk tempat yg sama, disarankan pakai kacamata renang karena pemandangan didalam air bagus banyak ikan-ikan kecil, airnya jernih dan ada tumbuhan hijau yg menambah keindahan dan daya tarik tempat ini",akses jalan bagus sempat bingung ada dua nama sumber sira dan sumber bureng ternyata dua nama untuk tempat yg sama disarankan pakai kacamata renang karena pemandangan didalam air bagus banyak ikanikan kecil airnya jernih dan ada tumbuhan hijau yg menambah keindahan dan daya tarik tempat ini,akses jalan bagus sempat bingung ada dua nama sumber sira dan sumber bureng ternyata dua nama untuk tempat yang sama disarankan pakai kacamata renang karena pemandangan didalam air bagus banyak ikan ikan kecil airnya jernih dan ada tumbuhan hijau yang menambah keindahan dan daya tarik tempat ini,"['akses', 'jalan', 'bagus', 'sempat', 'bingung', 'ada', 'dua', 'nama', 'sumber', 'sira', 'dan', 'sumber', 'bureng', 'ternyata', 'dua', 'nama', 'untuk', 'tempat', 'yang', 'sama', 'disarankan', 'pakai', 'kacamata', 'renang', 'karena', 'pemandangan', 'didalam', 'air', 'bagus', 'banyak', 'ikan', 'ikan', 'kecil', 'airnya', 'jernih', 'dan', 'ada', 'tumbuhan', 'hijau', 'yang', 'menambah', 'keindahan', 'dan', 'daya', 'tarik', 'tempat', 'ini']","['akses', 'jalan', 'bagus', 'bingung', 'nama', 'sumber', 'sira', 'sumber', 'bureng', 'nama', 'disarankan', 'pakai', 'kacamata', 'renang', 'pemandangan', 'didalam', 'air', 'bagus', 'ikan', 'ikan', 'airnya', 'jernih', 'tumbuhan', 'hijau', 'menambah', 'keindahan', 'daya', 'tarik']",akses jalan bagus bingung nama sumber sira sumber bureng nama saran pakai kacamata renang pandang dalam air bagus ikan ikan air jernih tumbuh hijau tambah indah daya tarik,"Good road access was confused, there were two names of SIRA source and Bureng sources, it turns out that two names for the same place are advised to wear swimming glasses because the view in good water is a lot of small fish, the water is clear and there is a green plant that adds to the beauty and attraction of this place"
Bersih,bersih,bersih,['bersih'],['bersih'],bersih,clean
Kereeen.....seperti namanya airnya jernih putih kebiruan,kereeenseperti namanya airnya jernih putih kebiruan,keren seperti namanya airnya jernih putih kebiruan,"['keren', 'seperti', 'namanya', 'airnya', 'jernih', 'putih', 'kebiruan']","['keren', 'namanya', 'airnya', 'jernih', 'putih', 'kebiruan']",keren nama air jernih putih biru,cool as the name suggests the water is clear white bluish
Mantap,mantap,mantap,['mantap'],['mantap'],mantap,stable
"Ini tempatnya bagus, cocok untuk wisatawan yang membutuhkan relaksasi singkat dengan biaya murah",ini tempatnya bagus cocok untuk wisatawan yang membutuhkan relaksasi singkat dengan biaya murah,ini tempatnya bagus cocok untuk wisatawan yang membutuhkan relaksasi singkat dengan biaya murah,"['ini', 'tempatnya', 'bagus', 'cocok', 'untuk', 'wisatawan', 'yang', 'membutuhkan', 'relaksasi', 'singkat', 'dengan', 'biaya', 'murah']","['tempatnya', 'bagus', 'cocok', 'wisatawan', 'membutuhkan', 'relaksasi', 'singkat', 'biaya', 'murah']",tempat bagus cocok wisatawan butuh relaksasi singkat biaya murah,This is a good place suitable for tourists who need short relaxation at a low cost
Mantab ilakes,mantab ilakes,mantap sekali,"['mantap', 'sekali']",['mantap'],mantap,very good
"Bagus, tapi cuma bisa buat renang aja, gakbisa buat arung jeram seperti sumber maron...
Tapi tenang, ada taman yg cantik yg masih bisa menutupi kekurangan tsb.",bagus tapi cuma bisa buat renang aja gakbisa buat arung jeram seperti sumber maron tapi tenang ada taman yg cantik yg masih bisa menutupi kekurangan tsb,bagus tapi cuma bisa untuk renang saja tidak bisa untuk arung jeram seperti sumber maron tapi tenang ada taman yang cantik yang masih bisa menutupi kekurangan tersebut,"['bagus', 'tapi', 'cuma', 'bisa', 'untuk', 'renang', 'saja', 'tidak', 'bisa', 'untuk', 'arung', 'jeram', 'seperti', 'sumber', 'maron', 'tapi', 'tenang', 'ada', 'taman', 'yang', 'cantik', 'yang', 'masih', 'bisa', 'menutupi', 'kekurangan', 'tersebut']","['bagus', 'renang', 'arung', 'jeram', 'sumber', 'maron', 'tenang', 'taman', 'cantik', 'menutupi', 'kekurangan']",bagus renang arung jeram sumber maron tenang taman cantik tutup kurang,good but only can be for swimming alone can not be used for rafting like a maron source but calm there is a beautiful garden that can still cover these shortcomings
